name,info,img
Via delle Orfane,,
Via Clorinda Menguzzato """"Veglia"""",https://it.wikipedia.org/wiki/Clorinda_Menguzzato,https://upload.wikimedia.org/wikipedia/it/thumb/5/53/Clorinda_Menguzzato.jpg/220px-Clorinda_Menguzzato.jpg
Ponte Santa Barbara,,
Via Santa Margherita,,
Via Luisa Anzoletti,,
Via Madonnina,,
Via Anna Frank,https://it.wikipedia.org/wiki/Anna_Frank,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/AnneFrankSchoolPhoto.jpg/150px-AnneFrankSchoolPhoto.jpg
Vicolo Santa Maria Maddalena,,
Vicolo delle Orsoline,,
Via Santa Marina,,
Via Nedda Falzolgher,,
Via Ancilla Marighetto """"Ora"""",https://it.wikipedia.org/wiki/Ancilla_Marighetto,https://upload.wikimedia.org/wikipedia/it/thumb/b/b4/Ancilla_Marighetto.gif/220px-Ancilla_Marighetto.gif
Salita Santa Lucia,,
Via Antonia Pruner,,
Via 8 Marzo,,
Via Madonna della Corona,,
Via Maria Pederzolli,,
Via Zita Lorenzi,http://www.dols.it/2015/03/02/trentine-da-ricordare-le-scienziate/,
Via Valentina Zambra,http://www.dols.it/2015/03/02/trentine-da-ricordare-le-scienziate/,
Via Sant'Anna,,
sentiero S. Agata,,
Sentiero S. Agata,,
Via Santa Maria Maddalena,,
Via delle Bettine,,
Via Giuseppina Bassetti,,
Via Zita Lorenzi,,
Via Clorinda Menguzzato,https://it.wikipedia.org/wiki/Clorinda_Menguzzato,https://upload.wikimedia.org/wikipedia/it/thumb/5/53/Clorinda_Menguzzato.jpg/220px-Clorinda_Menguzzato.jpg
Salita Sant'Agata,,
Via Pia Zambotti,http://www.dols.it/2015/03/02/trentine-da-ricordare-le-scienziate/,
Piazza Santa Maria Maggiore,,
via Valentina Zambra,http://www.dols.it/2015/03/02/trentine-da-ricordare-le-scienziate/,
Piazza Madonna del Caravaggio,,
Via di Madonna Bianca,,
Via Madonna dei Prati,,
Piazza Madonna delle Laste,,
Via di Santa Brigida,,
Via alle Gemelle,,
Piazza dell'Assunta,,
Passeggiata Filomena Pergher,,
Via del Dos di Sant'Elena,,
Strada monastero di Sant'Anna,,
via Gemma de Gresti,https://it.wikipedia.org/wiki/Gemma_de_Gresti,
