name,info,img
Via Giulio Catoni,http://ricerca.gelocal.it/trentinocorrierealpi/archivio/trentinocorrierealpi/2004/08/19/AN9PO_AN902.html,
Via Ezio Maccani,http://www.quirinale.it/elementi/DettaglioOnorificenze.aspx?decorato=13857,
Via Guido Poli,https://it.wikipedia.org/wiki/1%C2%BA_Reggimento_alpini#Decorati,
Piazza Quintilio Perini,https://it.wikipedia.org/wiki/Quintilio_Perini,https://upload.wikimedia.org/wikipedia/it/thumb/d/d5/QUINTILIO_PERINI.jpg/220px-QUINTILIO_PERINI.jpg
Salita Filippo Manci,https://it.wikipedia.org/wiki/I_Mille#M,
Via Galileo Galilei,https://it.wikipedia.org/wiki/Galileo_Galilei,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Galileo.arp.300pix.jpg/220px-Galileo.arp.300pix.jpg
Via Paolo Oss Mazzurana,https://it.wikipedia.org/wiki/Paolo_Oss_Mazzurana,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Paolo_Oss_Mazzurana.jpg/220px-Paolo_Oss_Mazzurana.jpg
Via Giuseppe Gilli,https://it.wikipedia.org/wiki/Supersprint,
Piazza Dante Alighieri,https://it.wikipedia.org/wiki/Dante_Alighieri,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Portrait_de_Dante.jpg/220px-Portrait_de_Dante.jpg
Via San Lorenzo,,
Via Rodolfo Belenzani,https://it.wikipedia.org/wiki/Rodolfo_Belenzani,
Via Alcide Degasperi,https://it.wikipedia.org/wiki/Alcide_De_Gasperi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Alcide_de_Gasperi_2.jpg/225px-Alcide_de_Gasperi_2.jpg
Via di San Vincenzo,,
Via Carlo Dordi,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=925,
Largo Giosuè Carducci,https://it.wikipedia.org/wiki/Giosu%C3%A8_Carducci,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Giosu%C3%A8_Carducci2.jpg/200px-Giosu%C3%A8_Carducci2.jpg
Largo Luigi Pigarelli,https://it.wikipedia.org/wiki/Luigi_Pigarelli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nazario_Sauro.jpg/220px-Nazario_Sauro.jpg
Via Carlo Antonio Pilati,https://it.wikipedia.org/wiki/Carlantonio_Pilati,
Via Giuseppe Grazioli,http://www.treccani.it/enciclopedia/giuseppe-grazioli_%28Dizionario_Biografico%29/,
Via Giuseppe Verdi,https://it.wikipedia.org/wiki/Giuseppe_Verdi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Giuseppe_Verdi_by_Giovanni_Boldini.jpg/220px-Giuseppe_Verdi_by_Giovanni_Boldini.jpg
Passaggio Vittorio Zippel,https://it.wikipedia.org/wiki/Vittorio_Zippel,https://upload.wikimedia.org/wikipedia/it/c/c9/Vittorio_Zippel.jpg
Piazza Santa Maria Maggiore,,
Via Camillo Cavour,"https://it.wikipedia.org/wiki/Camillo_Benso,_conte_di_Cavour",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Camillo_Benso_Cavour_di_Ciseri.jpg/225px-Camillo_Benso_Cavour_di_Ciseri.jpg
Via Armando Diaz,https://it.wikipedia.org/wiki/Armando_Diaz,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/A_Diaz.jpg/225px-A_Diaz.jpg
Via Bernardo Clesio,https://it.wikipedia.org/wiki/Bernardo_Clesio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bartholom%C3%A4us_Bruyn_d._%C3%84._010.jpg/220px-Bartholom%C3%A4us_Bruyn_d._%C3%84._010.jpg
Via Roberto da Sanseverino,https://it.wikipedia.org/wiki/Roberto_Sanseverino_d'Aragona,
Via Hubert Jedin,https://it.wikipedia.org/wiki/Hubert_Jedin,
Ponte di San Lorenzo,,
Via senatore Carlo Esterle,https://it.wikipedia.org/wiki/Carlo_Esterle,https://upload.wikimedia.org/wikipedia/commons/9/91/CarloEsterle.gif
Via Don Tommaso Dallafior,,
Via Enrico Fermi,https://it.wikipedia.org/wiki/Enrico_Fermi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Enrico_Fermi_1943-49.jpg/220px-Enrico_Fermi_1943-49.jpg
Via Alessandro Volta,https://it.wikipedia.org/wiki/Alessandro_Volta,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Alessandro_Volta.jpeg/244px-Alessandro_Volta.jpeg
Piazza Giannatonio Manci,https://it.wikipedia.org/wiki/Giannantonio_Manci,https://upload.wikimedia.org/wikipedia/it/thumb/0/05/Giannantonio_Manci.jpg/220px-Giannantonio_Manci.jpg
Via Tommaso Gar,https://it.wikipedia.org/wiki/Tommaso_Gar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Tommaso_Gar.jpg/220px-Tommaso_Gar.jpg
Via Livio Druso,,
Ponte San Giorgio,,
Via Felice e Gregorio Fontana,https://it.wikipedia.org/wiki/Felice_Fontana|https://it.wikipedia.org/wiki/Gregorio_Fontana_%28matematico%29,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Felice_Fontana_1730-1805.png/180px-Felice_Fontana_1730-1805.png|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Gregorio_Fontana.jpg/180px-Gregorio_Fontana.jpg
Via Francesco Ambrosi,https://it.wikipedia.org/wiki/Francesco_Ambrosi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Ambrosi_Francesco_1821-1897.png/220px-Ambrosi_Francesco_1821-1897.png
Lungadige Marco Apuleio,http://www.santapollinare.tn.it/inserti-lapidei.html,
Via Alessandro Manzoni,https://it.wikipedia.org/wiki/Alessandro_Manzoni,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Francesco_Hayez_040.jpg/250px-Francesco_Hayez_040.jpg
Via Bartolomeo da Trento,http://catalog.hathitrust.org/Record/002893287,
Via Gandhi,https://it.wikipedia.org/wiki/Mahatma_Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Portrait_Gandhi.jpg/220px-Portrait_Gandhi.jpg
Via Antonio Gramsci,https://it.wikipedia.org/wiki/Antonio_Gramsci,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Gramsci.png/250px-Gramsci.png
Via Luigi Einaudi,https://it.wikipedia.org/wiki/Luigi_Einaudi,https://upload.wikimedia.org/wikipedia/it/thumb/4/45/LuigiEinaudi.jpg/225px-LuigiEinaudi.jpg
Largo Nazario Sauro,https://it.wikipedia.org/wiki/Nazario_Sauro,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nazario_Sauro.jpg/220px-Nazario_Sauro.jpg
Corso Michelangelo Buonarroti,https://it.wikipedia.org/wiki/Michelangelo_Buonarroti,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Michelangelo-Buonarroti1.jpg/220px-Michelangelo-Buonarroti1.jpg
Lungadige Giacomo Leopardi,https://it.wikipedia.org/wiki/Giacomo_Leopardi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Leopardi%2C_Giacomo_%281798-1837%29_-_ritr._A_Ferrazzi%2C_Recanati%2C_casa_Leopardi.jpg/260px-Leopardi%2C_Giacomo_%281798-1837%29_-_ritr._A_Ferrazzi%2C_Recanati%2C_casa_Leopardi.jpg
Via Giovanni Pedrotti,https://it.wikipedia.org/wiki/Giovanni_Pedrotti,
Via Cristoforo Busetti,https://it.wikipedia.org/wiki/Cristoforo_Busetti,
Via Antonio Abondi,https://it.wikipedia.org/wiki/Antonio_Abondio,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Antonio-Abodino-d.-J..jpg/220px-Antonio-Abodino-d.-J..jpg
Piazza General Antonio Cantore,https://it.wikipedia.org/wiki/Antonio_Cantore,https://upload.wikimedia.org/wikipedia/it/thumb/f/f7/Cantore.gif/111px-Cantore.gif
Via Giovanni Segantini,https://it.wikipedia.org/wiki/Giovanni_Segantini,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Selbstbildnis_1895.jpg/200px-Selbstbildnis_1895.jpg
Piazza Giuseppe Menghin,https://it.wikipedia.org/wiki/Giuseppe_Meneghini,https://upload.wikimedia.org/wikipedia/it/thumb/4/4c/Meneghinig.gif/220px-Meneghinig.gif
Via Don Leone Serafini,,
Via generale Giacomo Medici,https://it.wikipedia.org/wiki/Giacomo_Medici,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Generale_medici_%281887%29.jpg/200px-Generale_medici_%281887%29.jpg
Via San Vigilio,https://it.wikipedia.org/wiki/Vigilio_di_Trento,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Vigilius_and_companions-Naurizio.JPG/225px-Vigilius_and_companions-Naurizio.JPG
Via Benedetto Giovanelli,https://it.wikipedia.org/wiki/Benedetto_Giovanelli,
Via San Pietro,,
Via Antonio Rosmini,https://it.wikipedia.org/wiki/Antonio_Rosmini,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Antonio_Rosmini.JPG/225px-Antonio_Rosmini.JPG
Via Don Giovanni Battista Zanella,,
Via Vittorio de Riccabona,https://it.wikipedia.org/wiki/Vittorio_de_Riccabona,https://upload.wikimedia.org/wikipedia/it/thumb/1/18/Vittorio_de_Riccabona.jpg/220px-Vittorio_de_Riccabona.jpg
Via Giovanni Battista Borsieri,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=1583,
Via Antonio da Trento,https://it.wikipedia.org/wiki/Antonio_da_Trento,
Largo Eugenio Prati,https://it.wikipedia.org/wiki/Eugenio_Prati,
Via Padre Eusebio Chini,https://it.wikipedia.org/wiki/Eusebio_Francesco_Chini,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Padre_Misionero_Francisco_Eusebio_Kino.jpg/220px-Padre_Misionero_Francisco_Eusebio_Kino.jpg
Via Giuseppe Gerola,https://it.wikipedia.org/wiki/Giuseppe_Gerola,https://upload.wikimedia.org/wikipedia/it/thumb/0/0e/Gerola.jpg/220px-Gerola.jpg
Via Caio Valerio Mariano,,
Via Antonio Fogazzaro,https://it.wikipedia.org/wiki/Antonio_Fogazzaro,https://upload.wikimedia.org/wikipedia/commons/d/de/Antonio_Fogazzaro2.jpg
Via Annibale Apollonio,http://www.angeloelli.it/alpinisti/file/Apollonio%20Annibale%20%281848-1915%29.html,
Via Aurelio Nicolodi,https://it.wikipedia.org/wiki/Aurelio_Nicolodi,
Via Riccardo Zandonai,https://it.wikipedia.org/wiki/Riccardo_Zandonai,https://upload.wikimedia.org/wikipedia/it/8/8a/Zandonai.jpg
Via Enrico Conci,https://it.wikipedia.org/wiki/Enrico_Conci,https://upload.wikimedia.org/wikipedia/it/thumb/e/e9/Enrico_Conci.jpg/200px-Enrico_Conci.jpg
Via Giuseppe Ferrandi,http://trentinocorrierealpi.gelocal.it/tempo-libero/2015/10/18/news/giuseppe-ferrandi-l-avversario-di-degasperi-1.12292103,
Via Tullio Odorizzi,https://it.wikipedia.org/wiki/Tullio_Odorizzi,https://upload.wikimedia.org/wikipedia/it/thumb/8/8f/Tullio_Odorizzi.jpg/225px-Tullio_Odorizzi.jpg
Via San Bartolameo,,
Viale Nepomuceno Bolognini,https://it.wikipedia.org/wiki/Nepomuceno_Bolognini,https://upload.wikimedia.org/wikipedia/it/thumb/8/84/Bolognini.JPG/220px-Bolognini.JPG
Viale Nepomuceno Bolognini,https://it.wikipedia.org/wiki/Nepomuceno_Bolognini,https://upload.wikimedia.org/wikipedia/it/thumb/8/84/Bolognini.JPG/220px-Bolognini.JP
